id	GeneID	Description	Aliases	Mechanism	Isoform1	Isoform2	Time1	Time2
3534	AT5G66190	Encodes a leaf-type ferredoxin:NADP(H) oxidoreductase.  It is present in both chloroplast stroma and thylakoid membranes but is more abundant in the thylakoid.  The affinity of this enzyme for ferredoxin is slightly, but significantly, higher than AtLFNR2, an isoform of the same enzyme.  AtLFNR1 forms a heterodimer with AtFNR2 and is also a prerequisite to attach AtFNR2 to the thylakoid membrane.	ATLFNR1,FNR1,LFNR1	A5	AT5G66190.1	AT5G66190_ID15	WT_24h	WT_0h
3563	AT1G06190	Encodes a  novel ribonucleic acid-binding protein that interacts with the endonuclease RNase E and supports its function in processing plastid ribonucleic acids.	RHON1	IR	AT1G06190_P1	AT1G06190.2	gun1_0h	WT_0h
3597	AT1G14150	Encodes a subunit of the NAD(P)H dehydrogenase complex located in the chloroplast thylakoid lumen.	PnsL2,PQL1,PQL2	A5	AT1G14150.1	AT1G14150_c1	gun1_0h	WT_0h
3705	AT1G50200	Alanyl-tRNA synthetase;(source:Araport11)	ACD,ALATS	IR	AT1G50200_P1	AT1G50200_ID2	gun1_0h	WT_0h
3782	AT1G72640	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		A3	AT1G72640_ID20	AT1G72640_ID14	gun1_0h	WT_0h
3783	AT1G72640	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		A3	AT1G72640_ID20	AT1G72640_P3	gun1_0h	WT_0h
3784	AT1G72640	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		A3	AT1G72640_ID19	AT1G72640_P3	gun1_0h	WT_0h
3785	AT1G72640	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		IR	AT1G72640_ID20	AT1G72640_P3	gun1_0h	WT_0h
3786	AT1G72640	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)		IR	AT1G72640_ID19	AT1G72640_P3	gun1_0h	WT_0h
3826	AT1G80380	encodes a glycerate kinase which catalyzes the last step of photorespiration C2 cycle.	GLYK	IR	AT1G80380_P3	AT1G80380_P8	gun1_0h	WT_0h
3843	AT2G05710	Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. The mRNA is cell-to-cell mobile.	ACO3	A3	AT2G05710_P1	AT2G05710_ID13	gun1_0h	WT_0h
3844	AT2G05710	Encodes an aconitase that can catalyze the conversion of citrate to isocitrate through a cis-aconitate intermediate, indicating that it may participate in the TCA cycle and other primary metabolic pathways. The protein is believed to accumulate in the mitochondria and the cytosol. It affects CSD2 (At2g28190 - a superoxide dismutase) transcript levels and may play a role in the response to oxidative stress. One member of the family (ACO1 - At35830) was shown to specifically bind to the 5' UTR of CSD2 in vitro. ACO3 is tyrosine-phosphorylated and its phosphorylation state is modulated in response to ABA in Arabidopsis thaliana seeds. The mRNA is cell-to-cell mobile.	ACO3	A5	AT2G05710_P1	AT2G05710_ID13	gun1_0h	WT_0h
3892	AT2G25080	Encodes glutathione peroxidase. The mRNA is cell-to-cell mobile.	ATGPX1,GPX1,GPXL1	A5	AT2G25080_P1	AT2G25080_ID1	gun1_0h	WT_0h
3918	AT2G30170	Encodes a chloroplast PP2C phosphatase that is required for efficient dephosphorylation of PSII proteins and involved in light acclimation.Loss of function enhances immunity to bacterial pathogens.	PBCP	IR	AT2G30170_P1	AT2G30170_ID12	gun1_0h	WT_0h
3919	AT2G30170	Encodes a chloroplast PP2C phosphatase that is required for efficient dephosphorylation of PSII proteins and involved in light acclimation.Loss of function enhances immunity to bacterial pathogens.	PBCP	IR	AT2G30170_P1	AT2G30170_P5	gun1_0h	WT_0h
4005	AT2G47450	A component of the chloroplast signal recognition particle pathway that is involved in LHCP targeting.  It is downregulated in response to high light. It recognizes the DPLG motif in Lhcb1. The mRNA is cell-to-cell mobile.	CAO,CPSRP43	IR	AT2G47450_P1	AT2G47450_s1	gun1_0h	WT_0h
